,0,1,2,3,Cluster
미소,-2.4849036,-0.45398712,-0.368563,-1.2806075,13
심부름,-2.152663,-0.40637,1.3114892,-1.0590619,13
신혼,-2.6527667,-1.7645565,0.67426276,-0.97749966,13
대충,-2.1555727,-1.9899765,0.07803082,-0.5345133,13
서서,-1.8315395,-1.0042862,1.3705884,-1.0008713,13
짜증,-1.4807913,-1.050205,-0.1673457,-0.55903673,13
괴짜,-2.1954906,-1.3209051,-0.16263828,-1.2165544,13
행패,-1.9197117,-0.6812302,1.2291194,-1.0504491,13
?,-3.025332,-0.16380884,1.1546,-2.564404,13
다이어트,-1.9651872,-2.332498,-0.7515416,0.12349816,13
공복,-1.5373471,-2.1648731,-0.031776417,-1.3536121,13
환호,-1.7284329,-0.8852117,1.2619711,-1.0537322,13
육아,-1.6265404,-2.3064873,-1.0186853,-2.754947,13
난감,-1.3289487,-1.9569829,0.8863808,-0.35362998,13
티끌,-2.0323806,-2.167445,-0.7170274,-0.27725118,13
역경,-1.4270768,-0.40814486,-0.30296007,-1.5219595,13
속담,-2.330151,-1.0699533,-0.4630524,-1.1565058,13
자기애,-1.0854228,-1.866841,-0.8362401,-1.4123013,13
악수,-1.8349359,-1.3483595,1.359159,-0.9889889,13
연민,-1.1206357,0.06857389,-0.5430182,-1.5662336,13
