,0,1,2,3,Cluster
세상,-2.7329357,8.034123,-2.838006,0.3914689,11
방치,1.7772769,-1.9375114,2.978749,5.237937,17
심심,-1.6592109,-1.8981236,0.6425102,0.06411852,13
삶,0.86401266,7.091449,-7.3897657,-0.46600196,11
격려,1.1841992,1.3813142,2.7685823,-1.6600518,18
화해,3.8827178,0.8462845,1.9612341,-2.8768034,18
그리움,-1.4695215,0.40932146,-0.47480515,-1.7189702,13
놀림,-0.9355852,-0.35617363,1.2302197,-0.9416154,8
궁금,1.3881298,-0.027475163,1.4807603,2.478347,0
욕심,-0.35702834,3.3819256,-1.0652654,-1.0115784,2
형,-3.7322106,-3.2057045,-0.055295553,-1.7198265,13
협박,4.269162,4.022955,5.2308564,-2.1034112,16
감옥,-1.8183087,1.1862606,5.314972,-2.0028303,4
생각,6.3967543,6.8946414,-1.6163063,6.337382,7
미인,-4.209369,0.4251498,0.17754005,-0.6717387,15
현실,4.8759613,3.865841,-8.209194,-0.7945279,19
조롱,1.719678,2.905144,2.6262496,0.26337388,18
의심,7.220916,6.3238163,2.263673,2.7801874,16
연기,-1.5795515,-0.7004606,1.6223165,2.840271,8
질문,4.309379,5.125572,-1.3881083,-0.6065947,7
상사,0.3585778,-3.4971993,-0.6883922,-4.5090723,14
흥분,1.5756682,1.9301043,-2.098087,4.228019,0
자비,0.38603854,3.7018478,1.4012482,-2.5178878,2
성취,4.130127,1.3679823,-2.9145544,0.68805766,7
혼자,-2.7094793,3.5563745,1.9437377,-0.10333151,4
집착,3.3228414,5.006316,-2.351701,2.5862641,7
향기,-5.4360213,2.3435588,-4.43002,1.4427234,5
끝,-3.1290383,-0.45418513,1.6740445,-1.0837603,13
발표,3.8822825,-5.7821,6.596603,2.661447,17
용서,2.662047,6.765085,5.757037,0.28843716,16
키스,-6.9899592,-0.6681238,3.6735384,-2.1478014,15
날씨,-2.530221,-1.5248508,-5.126262,3.9267194,1
고백,1.9092206,5.5180507,3.153939,-0.85237366,16
무안,-2.2606978,-4.1161456,1.5530483,-1.5988106,13
맛,-6.196189,3.5118842,-6.0604143,3.759955,5
소멸,5.2114253,-2.705006,1.6723219,5.9398656,17
환각,-1.1519604,-0.8024252,-1.7845153,0.38473004,1
취향,-0.80334723,0.9514831,-5.059328,-1.7908623,2
요구,11.490829,-1.6048974,1.2760895,-2.271539,9
두통,-1.4457408,-0.9212452,-0.9010125,0.5121314,8
혼란,4.885521,3.0687637,-2.5849411,2.1747105,7
항의,6.7341948,-0.89890987,3.9890707,-3.4546344,9
적극,5.2276254,-3.6792011,1.9514031,-5.1004114,3
화,-0.90036404,-6.00591,-0.70426667,0.851945,14
재미,-1.2585235,0.36598048,-2.4841785,-2.122844,2
망신,-0.5677813,-1.283401,1.52361,-0.8916353,13
기풍,-0.91439056,-0.9087485,-1.1573905,-1.5058362,13
격분,0.7990824,0.9482202,3.5192127,1.044733,18
멍,-3.6753876,-1.5316514,0.4954055,0.04707955,15
축하,-2.3992646,1.4252052,3.7750945,-2.7214901,4
성공,3.02005,-0.7203706,3.5254955,6.2116375,17
불쾌,0.65361667,3.4785619,0.48866233,2.7329998,0
조용,-0.97474486,1.7068752,0.19949707,3.4739387,0
출발,0.6659362,-3.9357314,5.422782,6.6638865,17
탄식,-0.8456146,0.4121237,2.1491156,0.706866,8
시비,-0.7845842,0.18272965,0.7459624,-1.7332951,8
불량,-0.16403854,-2.809198,-1.9520023,1.1553344,1
열심,-0.71517164,-1.3492135,0.5038596,-0.98085576,13
불신,2.88264,1.3439158,-1.2657752,-1.144086,2
물,-4.232437,0.4146159,-4.1596527,3.7189898,5
죽음,-0.72317237,9.676425,1.6566657,-1.2974453,16
운,-5.593081,-2.9112704,2.8017778,-2.7892683,15
불쌍,-2.0282688,0.034363948,1.11336,0.14871225,8
